longitude,latitude,geometry,id
103.77,1.353,"LINESTRING (103.7696 1.353, 103.7698 1.3531)",77
103.777,1.301,"LINESTRING (103.7766 1.301, 103.7767 1.3012)",81
103.759,1.316,"LINESTRING (103.7588 1.3164, 103.7586 1.3163)",83
103.788,1.354,"LINESTRING (103.7878 1.3536, 103.7877 1.3535)",98
103.761,1.315,"LINESTRING (103.7609 1.3152, 103.7608 1.3152)",100
103.872,1.32,"LINESTRING (103.8717 1.3201, 103.8718 1.3202)",2
103.865,1.329,"LINESTRING (103.8646 1.3291, 103.8646 1.329)",3
103.865,1.329,"LINESTRING (103.8646 1.3291, 103.8646 1.3291)",4
103.871,1.326,"LINESTRING (103.8706 1.3264, 103.8704 1.3262)",37
103.87,1.326,"LINESTRING (103.8704 1.3262, 103.8704 1.3262)",38
103.874,1.322,"LINESTRING (103.874 1.3225, 103.874 1.3225)",70
103.868,1.327,"LINESTRING (103.8685 1.3272, 103.8684 1.3273)",96
103.873,1.322,"LINESTRING (103.8729 1.3219, 103.8728 1.322)",97
103.871,1.314,"LINESTRING (103.8706 1.3137, 103.8706 1.3136)",42
103.871,1.31,"LINESTRING (103.871 1.31, 103.871 1.3101)",54
103.875,1.318,"LINESTRING (103.8748 1.3183, 103.8749 1.3183)",62
103.875,1.317,"LINESTRING (103.8746 1.317, 103.8745 1.3171)",63
103.875,1.316,"LINESTRING (103.8748 1.3164, 103.8749 1.3164)",64
103.875,1.316,"LINESTRING (103.8749 1.3157, 103.875 1.3157)",65
103.843,1.301,"LINESTRING (103.8431 1.3006, 103.8432 1.3006)",29
103.844,1.298,"LINESTRING (103.8438 1.2977, 103.8437 1.2977)",30
103.853,1.303,"LINESTRING (103.8534 1.3027, 103.8535 1.3026)",47
103.846,1.298,"LINESTRING (103.8464 1.2977, 103.8464 1.2978)",79
103.848,1.299,"LINESTRING (103.8481 1.2988, 103.8481 1.2986)",86
103.848,1.298,"LINESTRING (103.8479 1.298, 103.848 1.2981)",91
