longitude,latitude,timestamp
103.786935166667,1.44216516666667,2019-08-30 08:39:58.000
103.79051,1.433831,2019-08-30 08:39:58.000
103.791870166667,1.43007633333333,2019-08-30 08:39:58.000
103.793100666667,1.434928,2019-08-30 08:39:58.000
103.793347,1.43969016666667,2019-08-30 08:39:58.000
103.7935435,1.42952316666667,2019-08-30 08:39:58.000
103.7940845,1.42950266666667,2019-08-30 08:39:58.000
103.7942745,1.44654366666667,2019-08-30 08:39:58.000
103.7950745,1.43097533333333,2019-08-30 08:39:58.000
103.795848833333,1.44983316666667,2019-08-30 08:39:58.000
103.797968166667,1.42519216666667,2019-08-30 08:39:58.000
103.79841665,1.4355221,2019-08-30 08:39:58.000
103.7987995,1.4454123,2019-08-30 08:39:58.000
103.798810333333,1.44116033333333,2019-08-30 08:39:58.000
103.798826833333,1.44620616666667,2019-08-30 08:39:58.000
103.893868666667,1.41630616666667,2019-08-30 08:39:58.000
103.899984133333,1.40629035,2019-08-30 08:39:58.000
103.899988,1.41348233333333,2019-08-30 08:39:58.000
103.74371,1.41212,2019-08-30 08:59:58.000
103.74417,1.41558,2019-08-30 08:59:58.000
103.74516,1.40791,2019-08-30 08:59:58.000
103.75191,1.43444,2019-08-30 08:59:58.000
103.7586,1.41171,2019-08-30 08:59:58.000
103.76547,1.42991,2019-08-30 08:59:58.000
103.76706,1.43708,2019-08-30 08:59:58.000
103.76799,1.44136,2019-08-30 08:59:58.000
103.76832,1.43893,2019-08-30 08:59:58.000
103.76868,1.43095,2019-08-30 08:59:58.000
103.77318,1.43232,2019-08-30 08:59:58.000
103.77356,1.43351,2019-08-30 08:59:58.000
103.7749,1.43052,2019-08-30 08:59:58.000
103.77528,1.43061,2019-08-30 08:59:58.000
103.77633,1.41075,2019-08-30 08:59:58.000
103.77674,1.4108,2019-08-30 08:59:58.000
103.77723,1.43381,2019-08-30 08:59:58.000
103.77868,1.41038,2019-08-30 08:59:58.000
103.78222,1.40776,2019-08-30 08:59:58.000
103.78546,1.43521,2019-08-30 08:59:58.000
103.7873,1.43717,2019-08-30 08:59:58.000
103.79023,1.42653,2019-08-30 08:59:58.000
103.79164,1.43238,2019-08-30 08:59:58.000
103.79173,1.45014,2019-08-30 08:59:58.000
103.79191,1.44234,2019-08-30 08:59:58.000
103.79208,1.43205,2019-08-30 08:59:58.000
103.79315,1.42902,2019-08-30 08:59:58.000
103.79325,1.43208,2019-08-30 08:59:58.000
103.794,1.4301,2019-08-30 08:59:58.000
103.79427,1.45327,2019-08-30 08:59:58.000
103.79437,1.43405,2019-08-30 08:59:58.000
103.7948,1.42851,2019-08-30 08:59:58.000
103.79518,1.45481,2019-08-30 08:59:58.000
103.79571,1.45705,2019-08-30 08:59:58.000
103.7958,1.45304,2019-08-30 08:59:58.000
103.79764,1.45569,2019-08-30 08:59:58.000
103.79826,1.4161,2019-08-30 08:59:58.000
103.89885,1.40649,2019-08-30 08:59:58.000
103.90389,1.40737,2019-08-30 08:59:58.000
103.76764,1.43657,2019-08-30 08:19:56.000
103.77252,1.4425,2019-08-30 08:19:56.000
103.78081,1.43302,2019-08-30 08:19:56.000
103.78288,1.41085,2019-08-30 08:19:56.000
103.79353,1.431,2019-08-30 08:19:56.000
103.75028,1.40697,2019-08-30 08:09:56.000
103.75204,1.41255,2019-08-30 08:09:56.000
103.7547,1.41962,2019-08-30 08:09:56.000
103.77102,1.44199,2019-08-30 08:09:56.000
103.77253,1.4476,2019-08-30 08:09:56.000
103.77304,1.40988,2019-08-30 08:09:56.000
103.77337,1.44664,2019-08-30 08:09:56.000
103.773497333333,1.442379,2019-08-30 08:09:56.000
103.774147,1.4299275,2019-08-30 08:09:56.000
103.77538,1.42852,2019-08-30 08:09:56.000
103.776247166667,1.44178683333333,2019-08-30 08:09:56.000
103.777994333333,1.44217216666667,2019-08-30 08:09:56.000
103.779066333333,1.4306135,2019-08-30 08:09:56.000
103.779205666667,1.43925566666667,2019-08-30 08:09:56.000
103.78117,1.42979,2019-08-30 08:09:56.000
103.7869795,1.44203533333333,2019-08-30 08:09:56.000
103.79129,1.43247,2019-08-30 08:09:56.000
103.79162,1.44401,2019-08-30 08:09:56.000
103.79279,1.45283,2019-08-30 08:09:56.000
103.7940935,1.42957816666667,2019-08-30 08:09:56.000
103.79458,1.44437,2019-08-30 08:09:56.000
103.7960182,1.44331243333333,2019-08-30 08:09:56.000
103.797638166667,1.42515916666667,2019-08-30 08:09:56.000
103.79802,1.44062,2019-08-30 08:09:56.000
103.798065333333,1.43974291666667,2019-08-30 08:09:56.000
103.798460333333,1.44112533333333,2019-08-30 08:09:56.000
103.89943,1.40973,2019-08-30 08:09:56.000
103.899931833333,1.41391266666667,2019-08-30 08:09:56.000
103.899940966667,1.40633785,2019-08-30 08:09:56.000
103.8871,1.36209,2019-08-30 08:48:58.000
103.88745,1.32058,2019-08-30 08:48:58.000
103.88783,1.35072,2019-08-30 08:48:58.000
103.88795,1.33602,2019-08-30 08:48:58.000
103.88795,1.33993,2019-08-30 08:48:58.000
103.88865,1.33444,2019-08-30 08:48:58.000
103.88957,1.33358,2019-08-30 08:48:58.000
103.88982,1.32321,2019-08-30 08:48:58.000
103.89059,1.35246,2019-08-30 08:48:58.000
103.89066,1.3554,2019-08-30 08:48:58.000
103.89072,1.34047,2019-08-30 08:48:58.000
103.89135,1.34277,2019-08-30 08:48:58.000
103.89147,1.34218,2019-08-30 08:48:58.000
103.89164,1.32132,2019-08-30 08:48:58.000
103.89175,1.32134,2019-08-30 08:48:58.000
103.89186,1.34336,2019-08-30 08:48:58.000
103.8922,1.33708,2019-08-30 08:48:58.000
103.89241,1.34581,2019-08-30 08:48:58.000
103.89268,1.32485,2019-08-30 08:48:58.000
103.89285,1.32113,2019-08-30 08:48:58.000
103.89287,1.32699,2019-08-30 08:48:58.000
103.89305,1.32796,2019-08-30 08:48:58.000
103.89309,1.31891,2019-08-30 08:48:58.000
