latitude,longitude,month_timestamp,message,type,timestamp
1.3898204440951956,103.7610846282052,2019-08-01 00:00:00.000,(30/8)17:55 Accident on KJE (towards BKE) after Woodlands Rd Exit.,Accident,2019-08-30 17:55:00.000
1.3162070424825716,103.75874481612843,2019-08-01 00:00:00.000,(30/8)18:40 Accident on AYE (towards MCE) before Clementi Ave 6 Exit. Avoid lane 1.,Accident,2019-08-30 18:40:00.000
1.3339145902803133,103.97802529508486,2019-08-01 00:00:00.000,(30/8)18:43 Accident on ECP (towards Changi Airport) before PIE Exit. Avoid lane 3.,Accident,2019-08-30 18:43:00.000
1.3339283717836874,103.97804165856333,2019-08-01 00:00:00.000,(30/8)18:43 Accident on ECP (towards Changi Airport) before PIE Exit. Avoid lane 3.,Accident,2019-08-30 18:43:00.000
1.2729918345380777,103.86372568639115,2019-08-01 00:00:00.000,(30/8)18:58 Accident on MCE (towards ECP) before Marina Blvd Entrance. Avoid lane 4.,Accident,2019-08-30 18:58:00.000
1.4180781763391859,103.77151662839896,2019-08-01 00:00:00.000,(30/8)19:22 Accident on SLE (towards BKE) at BKE(PIE) Exit.,Accident,2019-08-30 19:22:00.000
1.331183569303087,103.8620686911725,2019-08-01 00:00:00.000,(30/8)19:25 Accident on CTE (towards SLE) at Upper Serangoon Rd Exit.,Accident,2019-08-30 19:25:00.000
1.3969660882974029,103.85661229344261,2019-08-01 00:00:00.000,(30/8)20:34 Accident on SLE (towards BKE) after TPE Exit.,Accident,2019-08-30 20:34:00.000
1.3257780412968567,103.90431045410386,2019-08-01 00:00:00.000,(30/8)21:42 Accident on PIE (towards Changi Airport) after Jalan Eunos with congestion till Kallang Way. Avoid lane 1.,Accident,2019-08-30 21:42:00.000
1.3253583830318754,103.90230452054925,2019-08-01 00:00:00.000,(30/8)21:42 Accident on PIE (towards Changi Airport) after Paya Lebar. Avoid lane 1.,Accident,2019-08-30 21:42:00.000
1.3379403386377142,103.86203785917729,2019-08-01 00:00:00.000,(30/8)21:57 Accident on CTE (towards SLE) after Braddell Rd Exit. Avoid lane 3.,Accident,2019-08-30 21:57:00.000
1.294918317536432,103.7652528771329,2019-08-01 00:00:00.000,(30/8)22:07 Accident on West Coast Highway (towards Tuas) after Clementi Road.,Accident,2019-08-30 22:07:00.000
1.3284764149544255,103.82419438012512,2019-08-01 00:00:00.000,(30/8)22:07 Accident on PIE (towards Tuas) after Stevens Rd Exit with congestion till Thomson Rd Exit. Avoid lane 1.,Accident,2019-08-30 22:07:00.000
1.3257149067081035,103.90434315965338,2019-08-01 00:00:00.000,(30/8)22:17 Accident on PIE (towards Tuas) after Jalan Eunos with congestion till Jalan Eunos. Avoid lane 1.,Accident,2019-08-30 22:17:00.000
